1 bicicleta caloi aro 26, completa	R$ 1.300,00
7 lâmpadas grow LED	R$ 1.050,00
1 Poltrona do Papai Marrom	R$ 800,00
1 Antena Roteador Amplimax Fit 4g Elsyseprl18 Internet Somente Dados	R$ 520,00
1 skate shape drop dead blacksheep truck nacional	R$ 500,00
1 mesa de reunião de madeira e perna de ferro	R$ 450,00
1 roteador tp link archer C50	R$ 260,00
1 maleta executiva notebook até 17" couro sintético  com alça	R$ 250,00
1 par de luva motociclista tekk para frio, comprado em curitiba	R$ 250,00
1 som para carro pioneer completo 	R$ 250,00
1 kimono jiu jitsu azul keiko novo a3	R$ 240,00
1 Caixa de Transporte para Cachorro n 5	R$ 200,00
1 bola altinha penalty 	R$ 200,00
1 suporte transbike para trasnportar até 3 bicicletas	R$ 200,00
1 Kit Fichas de Poker com Embaralhador Automatico	R$ 160,00
2 repetidor tp-link	R$ 160,00
1 Cavaquinho Studio com Cordas Boas	R$ 150,00
2 farol led moto + lampada farol dianteiro	R$ 150,00
15 pranchinhas de surf de madeira com números para controle (mesa restaurante)	R$ 150,00
1 baulete moto pro tork + suporte + rack	R$ 140,00
1 Aro Frisbee Pro Ring Aerobie 33cm 13c12/13t12 Amarelo	R$ 140,00
1 barraca amarela	R$ 130,00
1 lanterna bike com bateria muito forte brinde refleto	R$ 120,00
1 par de raquetes frescobol + bolinha	R$ 120,00
1 timmer temporizador de tomada	R$ 110,00
1 Caixa Estanque Gopro Hero 5 6 7 Black Tampa Touch Go Pro	R$ 100,00
joelheira de motociclista	R$ 100,00
1 furadeira elétrica 110v	R$ 90,00
1 gaveta de 2 andares para escritório	R$ 80,00
1 ringlight anel de luz com suporte para 2 celulares	R$ 80,00
10 quadros decoração MDF	R$ 80,00
5 Camisetas Masculinas Usadas e brindes	R$ 60,00
1 sanduícheira elétrica 110v	R$ 50,00
1 detector de presença soquete de luz padrão acende quando alguém aproxima	R$ 50,00
1 par de chinelo de palha 44	R$ 50,00
1.2kg de glicerina bi-destilada para receitas	R$ 50,00
100 sacos ifood marmita lanche entrega delivery	R$ 50,00
25 potinhos de vidro vedados	R$ 50,00
1 faca churrasco 	R$ 40,00
1 powerbank com lantera	R$ 40,00
1 lâmpada farol para moto h40 tornado	R$ 34,00
1 Barquinho a velas em minatura	R$ 30,00
1 Carrinho de controle remoto infantil tyco RC (no estado)	R$ 80,00
1 Coruja tocando violão minatura (quebrado na base)	R$ 30,00
1 capa de chuva lona forte	R$ 30,00
1 mini balança de precisão	R$ 30,00
1 par de polaina para manete de moto para frio	R$ 30,00
2 suportes lombas, cadeiras, banco de carro	R$ 30,00
3 pacotes com 25 potinhos plástico 140ml	R$ 30,00
7 display a4 para fixar avisos na parede	R$ 30,00
1 carregador de pilhas AAA e AA e bateria 9v  25	R$ 25,00
Conjunto de talheres com suporte tampado	R$ 25,00
2 quadros café decoração moldura	R$ 24,00
1 Abajour de mesa modelo antigo pintado	R$ 20,00
1 android micro OTG	R$ 20,00
1 armband para correr com celular	R$ 20,00
1 maquinha de barbear a pilha com pente	R$ 20,00
1 mochila usada	R$ 20,00
1 regua USB com 7 saídas e botão de ligar independente	R$ 20,00
6 potinhos de vidro	R$ 20,00
4 canecas de cerâmica colorida de vó	R$ 20,00
1 porta retrato a4 estilo filme película de vidro	R$ 15,00
2 baterias energizer 2023 (não usadas)	R$ 15,00
2 pilhas energizer a23 (não usadas)	R$ 15,00
1 carregador de bateria externo	R$ 10,00
1 porta chaves indian motorcicle	R$ 10,00
Itens culinária ketchup paliteiro saco confeiteiro	R$ 10,00
